Lemma,URL,Wortart,Genus,Artikel,nur_im_Plural
Decke,https://www.dwds.de/wb/Decke,Substantiv,fem.,die,0
dekorieren,https://www.dwds.de/wb/dekorieren,Verb,,,0
Denkmal,https://www.dwds.de/wb/Denkmal,Substantiv,neutr.,das,0
derselbe,https://www.dwds.de/wb/derselbe,Demonstrativpronomen,mask.,,0
Dessert,https://www.dwds.de/wb/Dessert,Substantiv,neutr.,das,0
desto,https://www.dwds.de/wb/desto,Konjunktion,,,0
deswegen,https://www.dwds.de/wb/deswegen,Konjunktion,,,0
Detail,https://www.dwds.de/wb/Detail,Substantiv,neutr.,das,0
Dialekt,https://www.dwds.de/wb/Dialekt,Substantiv,mask.,der,0
Dialog,https://www.dwds.de/wb/Dialog,Substantiv,mask.,der,0
dicht,https://www.dwds.de/wb/dicht,Adjektiv,,,0
Dieb,https://www.dwds.de/wb/Dieb,Substantiv,mask.,der,0
dienen,https://www.dwds.de/wb/dienen,Verb,,,0
Dienst,https://www.dwds.de/wb/Dienst,Substantiv,mask.,der,0
dies,https://www.dwds.de/wb/dies,Demonstrativpronomen,neutr.,,0
diese,https://www.dwds.de/wb/diese,Demonstrativpronomen,fem.,,0
dieselbe,https://www.dwds.de/wb/dieselbe,Demonstrativpronomen,fem.,,0
dieser,https://www.dwds.de/wb/dieser,Demonstrativpronomen,mask.,,0
dieses,https://www.dwds.de/wb/dieses,Demonstrativpronomen,neutr.,,0
diesmal,https://www.dwds.de/wb/diesmal,Adverb,,,0
digital,https://www.dwds.de/wb/digital,Adjektiv,,,0
Diplom,https://www.dwds.de/wb/Diplom,Substantiv,neutr.,das,0
Direktor,https://www.dwds.de/wb/Direktor,Substantiv,mask.,der,0
Direktorin,https://www.dwds.de/wb/Direktorin,Substantiv,fem.,die,0
Diskothek,https://www.dwds.de/wb/Diskothek,Substantiv,fem.,die,0
Diskussion,https://www.dwds.de/wb/Diskussion,Substantiv,fem.,die,0
Distanz,https://www.dwds.de/wb/Distanz,Substantiv,fem.,die,0
Diät,https://www.dwds.de/wb/Di%C3%A4t,Substantiv,fem.,die,0
Doktorin,https://www.dwds.de/wb/Doktorin,Substantiv,fem.,die,0
Dokument,https://www.dwds.de/wb/Dokument,Substantiv,neutr.,das,0
Donner,https://www.dwds.de/wb/Donner,Substantiv,mask.,der,0
donnern,https://www.dwds.de/wb/donnern,Verb,,,0
doppel-,https://www.dwds.de/wb/doppel-,Affix,,,0
